Agency / Banca,ASM Emp Code,ASM Name,City,Date of Joning,Designation,Emp Code,Employee Status,Function,Last Working Date,Name,RHR,RSM Emp Code,RSM Name,RTM,State,Zone
Agency,16, Amber,Allahabad,2012-01-04 00:00:00,SM - Agency,69,Active,Sales,, Cliff,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Bhind,2005-04-22 00:00:00,SM - Agency,71,Active,Sales,, Cody,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Gorakhpur,2011-08-18 00:00:00,SM - Agency,270,Exited,Sales,2024-02-05 00:00:00, Miranda,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Gorakhpur,2012-04-11 00:00:00,SM - Agency,70,Active,Sales,, Clifford,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Kanpur,2006-03-10 00:00:00,SM - Agency,66,Active,Sales,, Clarence,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Lucknow,2012-06-02 00:00:00,SM - Agency,65,Active,Sales,, Clara,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Lucknow,2020-02-14 00:00:00,SM - Agency,268,Exited,Sales,2024-01-12 00:00:00, Mike,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Varanasi,2009-07-20 00:00:00,SM - Agency,67,Active,Sales,, Claudia,Ankit,4, Adam,Priya,UP,North 4
Agency,16, Amber,Varanasi,2012-01-02 00:00:00,SM - Agency,269,Exited,Sales,2024-02-03 00:00:00, Mildred,Ankit,4, Adam,Priya,UP,North 4
Agency,17, Amelia,All,2020-02-06 00:00:00,ASM - Agency,17,Active,Sales,, Amelia,Nikhil,5, Adrian,Naveen,Assam,East 1
Agency,17, Amelia,Dibrugarh,2017-05-06 00:00:00,SM - Agency,75,Active,Sales,, Crystal,Nikhil,5, Adrian,Naveen,Assam,East 1
Agency,17, Amelia,Guwahati,2023-06-10 00:00:00,SM - Agency,74,Active,Sales,, Craig,Nikhil,5, Adrian,Naveen,Assam,East 1
Agency,18, Amy,All,2011-02-01 00:00:00,ASM - Agency,18,Active,Sales,, Amy,Nikhil,5, Adrian,Naveen,Meghalya,East 2
Agency,18, Amy,Jowai,2017-03-11 00:00:00,SM - Agency,78,Active,Sales,, Dale,Nikhil,5, Adrian,Naveen,Meghalya,East 2
Agency,18, Amy,Jowai,2017-03-28 00:00:00,SM - Agency,272,Exited,Sales,2024-04-02 00:00:00, Molly,Nikhil,5, Adrian,Naveen,Meghalya,East 2
Agency,18, Amy,Shillong,2008-07-15 00:00:00,SM - Agency,76,Active,Sales,, Curtis,Nikhil,5, Adrian,Naveen,Meghalya,East 2
Agency,18, Amy,Tura,2007-07-31 00:00:00,SM - Agency,77,Active,Sales,, Cynthia,Nikhil,5, Adrian,Naveen,Meghalya,East 2
Agency,19, Andrea,Agartala,2015-11-30 00:00:00,SM - Agency,79,Active,Sales,, Daniel,Nikhil,5, Adrian,Naveen,Tripura,East 3
Agency,19, Andrea,Agartala,2017-12-02 00:00:00,SM - Agency,273,Exited,Sales,2024-03-05 00:00:00, Monica,Nikhil,5, Adrian,Naveen,Tripura,East 3
Agency,19, Andrea,All,2017-01-13 00:00:00,ASM - Agency,19,Active,Sales,, Andrea,Nikhil,5, Adrian,Naveen,Tripura,East 3
Agency,19, Andrea,Udaipur,2013-02-11 00:00:00,SM - Agency,80,Active,Sales,, Danielle,Nikhil,5, Adrian,Naveen,Tripura,East 3
Agency,20, Andrew,Aizawl,2007-10-09 00:00:00,SM - Agency,81,Active,Sales,, Darla,Nikhil,5, Adrian,Naveen,Mizoram,East 4
Agency,20, Andrew,All,2017-03-31 00:00:00,ASM - Agency,20,Active,Sales,, Andrew,Nikhil,5, Adrian,Naveen,Mizoram,East 4
Agency,20, Andrew,All,2020-09-30 00:00:00,ASM - Agency,257,Exited,Sales,2024-01-11 00:00:00, Marvin,Nikhil,5, Adrian,Naveen,Mizoram,East 4
Agency,20, Andrew,Lunglei,2007-12-14 00:00:00,SM - Agency,82,Active,Sales,, David,Nikhil,5, Adrian,Naveen,Mizoram,East 4
Agency,21, Angela,All,2020-05-10 00:00:00,ASM - Agency,21,Active,Sales,, Angela,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Amravati,2005-07-14 00:00:00,SM - Agency,275,Exited,Sales,2024-02-25 00:00:00, Nancy,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Amravati,2012-02-19 00:00:00,SM - Agency,89,Active,Sales,, Derek,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Aurangabad,2012-12-27 00:00:00,SM - Agency,86,Active,Sales,, Deborah,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Kohlapur,2017-04-02 00:00:00,SM - Agency,90,Active,Sales,, Diana,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Nagpur,2011-12-06 00:00:00,SM - Agency,84,Active,Sales,, Dean,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Nashik,2020-12-25 00:00:00,SM - Agency,85,Active,Sales,, Debbie,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Pune,2007-06-29 00:00:00,SM - Agency,83,Active,Sales,, Dawn,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Sangli,2009-02-07 00:00:00,SM - Agency,91,Active,Sales,, Diane,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Solapur,2009-03-02 00:00:00,SM - Agency,88,Active,Sales,, Denise,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Thane,2013-08-31 00:00:00,SM - Agency,274,Exited,Sales,2024-03-13 00:00:00, Morgan,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,21, Angela,Thane,2014-09-07 00:00:00,SM - Agency,87,Active,Sales,, Debra,Raswinder,6, Aiden,Sahil,Maharashtra Urban,West 1
Agency,22, Anna,Ahmednagar,2008-08-20 00:00:00,SM - Agency,93,Active,Sales,, Donna,Raswinder,6, Aiden,Sahil,Maharashtra Rural,West 2
Agency,22, Anna,Ahmednagar,2018-06-01 00:00:00,SM - Agency,276,Exited,Sales,2024-02-14 00:00:00, Natalie,Raswinder,6, Aiden,Sahil,Maharashtra Rural,West 2
Agency,22, Anna,All,2008-03-14 00:00:00,ASM - Agency,22,Active,Sales,, Anna,Raswinder,6, Aiden,Sahil,Maharashtra Rural,West 2
Agency,22, Anna,Jalgaon,2014-12-23 00:00:00,SM - Agency,92,Active,Sales,, Donald,Raswinder,6, Aiden,Sahil,Maharashtra Rural,West 2
Agency,22, Anna,Satara,2007-04-17 00:00:00,SM - Agency,277,Exited,Sales,2024-02-05 00:00:00, Nathan,Raswinder,6, Aiden,Sahil,Maharashtra Rural,West 2
Agency,22, Anna,Satara,2010-06-13 00:00:00,SM - Agency,94,Active,Sales,, Doris,Raswinder,6, Aiden,Sahil,Maharashtra Rural,West 2
Agency,23, Anthony,All,2023-09-17 00:00:00,ASM - Agency,23,Active,Sales,, Anthony,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,23, Anthony,Mapusa,2017-09-19 00:00:00,SM - Agency,98,Active,Sales,, Ed,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,23, Anthony,Margao,2019-11-23 00:00:00,SM - Agency,279,Exited,Sales,2024-01-02 00:00:00, Neil,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,23, Anthony,Margao,2020-12-14 00:00:00,SM - Agency,96,Active,Sales,, Douglas,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,23, Anthony,Panaji,2018-09-18 00:00:00,SM - Agency,95,Active,Sales,, Dorothy,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,23, Anthony,Panaji,2021-06-06 00:00:00,SM - Agency,278,Exited,Sales,2024-02-22 00:00:00, Nathaniel,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,23, Anthony,VascodaGama,2011-11-21 00:00:00,SM - Agency,97,Active,Sales,, Dylan,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,23, Anthony,VascodaGama,2015-08-05 00:00:00,SM - Agency,280,Exited,Sales,2024-05-05 00:00:00, Nicholas,Raswinder,6, Aiden,Sahil,Goa,West 3
Agency,24, Antonio,Ajmer,2008-07-28 00:00:00,SM - Agency,103,Active,Sales,, Edward,Raswinder,6, Aiden,Sahil,Rajasthan,West 4
Agency,24, Antonio,All,2005-06-05 00:00:00,ASM - Agency,24,Active,Sales,, Antonio,Raswinder,6, Aiden,Sahil,Rajasthan,West 4
Agency,24, Antonio,Bikaner,2014-10-19 00:00:00,SM - Agency,104,Active,Sales,, Elaine,Raswinder,6, Aiden,Sahil,Rajasthan,West 4
Agency,24, Antonio,Jaipur,2020-08-12 00:00:00,SM - Agency,99,Active,Sales,, Eddie,Raswinder,6, Aiden,Sahil,Rajasthan,West 4
Agency,24, Antonio,Jodhpur,2016-09-20 00:00:00,SM - Agency,100,Active,Sales,, Edgar,Raswinder,6, Aiden,Sahil,Rajasthan,West 4
Agency,24, Antonio,Kota,2015-08-14 00:00:00,SM - Agency,102,Active,Sales,, Edna,Raswinder,6, Aiden,Sahil,Rajasthan,West 4
Agency,24, Antonio,Udaipur,2022-10-13 00:00:00,SM - Agency,101,Active,Sales,, Edith,Raswinder,6, Aiden,Sahil,Rajasthan,West 4
Agency,25, April,Ahmedabad,2024-01-02 00:00:00,SM - Agency,105,Active,Sales,, Elena,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,25, April,All,2019-04-25 00:00:00,ASM - Agency,25,Active,Sales,, April,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,25, April,Bhavnagar,2011-11-17 00:00:00,SM - Agency,109,Active,Sales,, Elizabeth,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,25, April,Jamnagar,2014-08-11 00:00:00,SM - Agency,110,Active,Sales,, Ella,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,25, April,Jamnagar,2014-11-29 00:00:00,SM - Agency,281,Exited,Sales,2024-05-05 00:00:00, Nicole,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,25, April,Rajkot,2023-11-30 00:00:00,SM - Agency,108,Active,Sales,, Elijah,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,25, April,Surat,2023-08-15 00:00:00,SM - Agency,106,Active,Sales,, Eli,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,25, April,Vadodara,2018-09-18 00:00:00,SM - Agency,107,Active,Sales,, Elias,Raswinder,6, Aiden,Sahil,Gujarat,West 5
Agency,26, Arthur,Kalyan,2013-05-10 00:00:00,SM - Agency,285,Exited,Sales,2024-02-07 00:00:00, Olivia,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,Kalyan,2018-07-13 00:00:00,SM - Agency,114,Active,Sales,, Eric,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,Mumbai,2005-11-10 00:00:00,ASM - Agency,26,Active,Sales,, Arthur,Raswinder,6, Aiden,Sahil,Maharashtra Mumbai,West 6
Agency,26, Arthur,Mumbai,2009-06-11 00:00:00,SM - Agency,282,Exited,Sales,2024-01-16 00:00:00, Nina,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,Mumbai,2009-07-01 00:00:00,SM - Agency,116,Active,Sales,, Erin,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,Mumbai,2022-07-10 00:00:00,SM - Agency,111,Active,Sales,, Ellen,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,NaviMumbai,2016-09-06 00:00:00,SM - Agency,283,Exited,Sales,2024-04-25 00:00:00, Noah,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,NaviMumbai,2021-02-23 00:00:00,SM - Agency,112,Active,Sales,, Emily,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,Thane,2012-02-02 00:00:00,SM - Agency,113,Active,Sales,, Emma,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,Thane,2023-12-17 00:00:00,SM - Agency,284,Exited,Sales,2024-05-05 00:00:00, Norma,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,26, Arthur,Vasai-Virar,2013-03-26 00:00:00,SM - Agency,115,Active,Sales,, Erica,Raswinder,6, Aiden,Sahil,Mumbai,West 6
Agency,27, Ashley,All,2010-04-24 00:00:00,ASM - Agency,27,Active,Sales,, Ashley,Joseph,7, Alan,Varsha,Kerela,South 1
Agency,27, Ashley,All,2022-09-05 00:00:00,ASM - Agency,258,Exited,Sales,2024-04-05 00:00:00, Mary,Joseph,7, Alan,Varsha,Kerela,South 1
Agency,27, Ashley,Kochi,2023-04-05 00:00:00,SM - Agency,118,Active,Sales,, Esther,Joseph,7, Alan,Varsha,Kerela,South 1
Agency,27, Ashley,Kozhikode,2007-02-11 00:00:00,SM - Agency,119,Active,Sales,, Ethan,Joseph,7, Alan,Varsha,Kerela,South 1
Agency,27, Ashley,Thiruvananthapuram,2009-11-05 00:00:00,SM - Agency,117,Active,Sales,, Ernest,Joseph,7, Alan,Varsha,Kerela,South 1
Agency,27, Ashley,Thrissur,2022-06-06 00:00:00,SM - Agency,120,Active,Sales,, Eugene,Joseph,7, Alan,Varsha,Kerela,South 1
Agency,28, Austin,All,2010-09-09 00:00:00,ASM - Agency,28,Active,Sales,, Austin,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,28, Austin,Belagavi,2011-02-18 00:00:00,SM - Agency,124,Active,Sales,, Felicia,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,28, Austin,Belagavi,2017-04-30 00:00:00,SM - Agency,286,Exited,Sales,2024-01-17 00:00:00, Omar,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,28, Austin,Coorg,2012-05-20 00:00:00,SM - Agency,287,Exited,Sales,2024-02-15 00:00:00, Owen,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,28, Austin,Coorg,2018-03-15 00:00:00,SM - Agency,125,Active,Sales,, Fiona,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,28, Austin,Hubballi-Dharwad,2021-05-11 00:00:00,SM - Agency,123,Active,Sales,, Faith,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,28, Austin,Mangaluru,2023-06-10 00:00:00,SM - Agency,122,Active,Sales,, Evelyn,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,28, Austin,Mysuru,2012-12-13 00:00:00,SM - Agency,121,Active,Sales,, Eva,Joseph,7, Alan,Varsha,Karnataka,South 2
Agency,29, Ava,All,2016-11-27 00:00:00,ASM - Agency,29,Active,Sales,, Ava,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Chennai,2008-09-01 00:00:00,SM - Agency,288,Exited,Sales,2024-05-05 00:00:00, Pamela,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Chennai,2010-11-20 00:00:00,SM - Agency,126,Active,Sales,, Florence,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Coimbatore,2007-02-23 00:00:00,SM - Agency,289,Exited,Sales,2024-03-02 00:00:00, Patricia,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Coimbatore,2009-04-09 00:00:00,SM - Agency,127,Active,Sales,, Floyd,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Madurai,2006-01-19 00:00:00,SM - Agency,128,Active,Sales,, Frances,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Salem,2013-07-15 00:00:00,SM - Agency,290,Exited,Sales,2024-03-21 00:00:00, Patrick,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Salem,2016-05-28 00:00:00,SM - Agency,130,Active,Sales,, Franklin,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Tiruchirappalli,2014-11-09 00:00:00,SM - Agency,129,Active,Sales,, Frank,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Tirunelveli,2006-03-31 00:00:00,SM - Agency,291,Exited,Sales,2024-02-13 00:00:00, Paul,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,29, Ava,Tirunelveli,2022-03-19 00:00:00,SM - Agency,131,Active,Sales,, Fred,Joseph,7, Alan,Varsha,Tamil Nadu,South 3
Agency,30, Avery,All,2014-04-01 00:00:00,ASM - Agency,30,Active,Sales,, Avery,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,All,2020-05-13 00:00:00,ASM - Agency,259,Exited,Sales,2024-01-02 00:00:00, Mason,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,Guntur,2018-06-20 00:00:00,SM - Agency,134,Active,Sales,, Gary,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,Kurnool,2008-03-29 00:00:00,SM - Agency,136,Active,Sales,, Gene,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,Nellore,2006-04-04 00:00:00,SM - Agency,135,Active,Sales,, Gavin,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,Vijayawada,2010-09-21 00:00:00,SM - Agency,293,Exited,Sales,2024-02-02 00:00:00, Peggy,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,Vijayawada,2021-01-02 00:00:00,SM - Agency,133,Active,Sales,, Gail,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,Visakhapatnam,2018-08-23 00:00:00,SM - Agency,132,Active,Sales,, Frederick,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
Agency,30, Avery,Visakhapatnam,2020-03-17 00:00:00,SM - Agency,292,Exited,Sales,2024-03-28 00:00:00, Paula,Joseph,7, Alan,Varsha,Andhra Pradesh,South 4
All,0,NA,All,2012-12-11 00:00:00,CEO,1000,Active,CEO,,Rajiv,Jassi,0,NA,Jones,All,All
All,1000,CEO,All,2006-10-17 00:00:00,SVP - HR,1009,Active,HR,,Jassi,Jassi,1000,CEO,Jones,All,All
All,1000,CEO,All,2017-04-09 00:00:00,SVP - TM,1010,Active,Training,,Jones,Jassi,1000,CEO,Jones,All,All
All,1000,CEO,All,2018-12-03 00:00:00,SVP - Sales,1,Active,Sales,, Aaron,Jassi,1000,CEO,Jones,All,All
All,1009,Jassi,All,2006-03-02 00:00:00,RHR - East,1002,Active,HR,,Nikhil,Jassi,1009,Jassi,Jones,All,East
All,1009,Jassi,All,2010-03-01 00:00:00,RHR - West,1003,Active,HR,,Raswinder,Jassi,1009,Jassi,Jones,All,West
All,1009,Jassi,All,2012-07-13 00:00:00,RHR - North,1001,Active,HR,,Ankit,Jassi,1009,Jassi,Jones,All,North
All,1009,Jassi,All,2018-11-23 00:00:00,RHR - South,1004,Active,HR,,Joseph,Jassi,1009,Jassi,Jones,All,South
All,1010,Jones,All,2012-08-07 00:00:00,RTM - South,1008,Active,Training,,Varsha,Jassi,1010,Jones,Jones,All,South
All,1010,Jones,All,2015-06-04 00:00:00,RTM - North,1005,Active,Training,,Priya,Jassi,1010,Jones,Jones,All,North
All,1010,Jones,All,2017-08-10 00:00:00,RTM - East,1006,Active,Training,,Naveen,Jassi,1010,Jones,Jones,All,East
All,1010,Jones,All,2023-06-22 00:00:00,RTM - West,1007,Active,Training,,Sahil,Jassi,1010,Jones,Jones,All,West
Banca,1, Aaron,All,2021-12-05 00:00:00,VP - Banca,3,Active,Sales,, Abigail,Jassi,1, Aaron,Jones,All,All
Banca,8, Albert,All,2019-10-02 00:00:00,RSM - Banca,8,Active,Sales,, Albert,Ankit,3, Abigail,Priya,All,North
Banca,9, Alex,All,2021-05-19 00:00:00,RSM - Banca,9,Active,Sales,, Alex,Nikhil,3, Abigail,Naveen,All,East
Banca,10, Alexander,All,2010-07-21 00:00:00,RSM - Banca,10,Active,Sales,, Alexander,Raswinder,3, Abigail,Sahil,All,West
Banca,11, Alexis,All,2013-03-25 00:00:00,RSM - Banca,11,Active,Sales,, Alexis,Joseph,3, Abigail,Varsha,All,South
Banca,31, Barbara,All,2011-07-02 00:00:00,ASM - Banca,31,Active,Sales,, Barbara,Ankit,8, Albert,Priya,Punjab,North 1
Banca,31, Barbara,Amritsar,2021-12-21 00:00:00,SM - Banca,137,Active,Sales,, George,Ankit,8, Albert,Priya,Punjab,North 1
Banca,31, Barbara,Bathinda,2005-02-28 00:00:00,SM - Banca,294,Exited,Sales,2024-02-03 00:00:00, Penny,Ankit,8, Albert,Priya,Punjab,North 1
Banca,31, Barbara,Bathinda,2020-08-15 00:00:00,SM - Banca,141,Active,Sales,, Gladys,Ankit,8, Albert,Priya,Punjab,North 1
Banca,31, Barbara,Jalandhar,2018-07-16 00:00:00,SM - Banca,139,Active,Sales,, Geraldine,Ankit,8, Albert,Priya,Punjab,North 1
Banca,31, Barbara,Ludhiana,2007-02-13 00:00:00,SM - Banca,138,Active,Sales,, Gerald,Ankit,8, Albert,Priya,Punjab,North 1
Banca,31, Barbara,Patiala,2023-10-02 00:00:00,SM - Banca,140,Active,Sales,, Gina,Ankit,8, Albert,Priya,Punjab,North 1
Banca,32, Benjamin,All,2012-12-22 00:00:00,ASM - Banca,32,Active,Sales,, Benjamin,Ankit,8, Albert,Priya,Haryana,North 2
Banca,32, Benjamin,Ambala,2016-10-10 00:00:00,SM - Banca,146,Active,Sales,, Gregory,Ankit,8, Albert,Priya,Haryana,North 2
Banca,32, Benjamin,Faridabad,2018-12-14 00:00:00,SM - Banca,144,Active,Sales,, Grace,Ankit,8, Albert,Priya,Haryana,North 2
Banca,32, Benjamin,Gurgaon,2006-10-10 00:00:00,SM - Banca,143,Active,Sales,, Gordon,Ankit,8, Albert,Priya,Haryana,North 2
Banca,32, Benjamin,Mohali,2005-11-15 00:00:00,SM - Banca,295,Exited,Sales,2024-05-05 00:00:00, Peter,Ankit,8, Albert,Priya,Haryana,North 2
Banca,32, Benjamin,Mohali,2010-05-21 00:00:00,SM - Banca,147,Active,Sales,, Gwen,Ankit,8, Albert,Priya,Haryana,North 2
Banca,32, Benjamin,Mohali,2017-02-28 00:00:00,SM - Banca,142,Active,Sales,, Gloria,Ankit,8, Albert,Priya,Haryana,North 2
Banca,32, Benjamin,Panipat,2022-12-22 00:00:00,SM - Banca,145,Active,Sales,, Greg,Ankit,8, Albert,Priya,Haryana,North 2
